iter	Passed	Remaining
400	17933	26788
401	17983	26752
402	18034	26715
403	18085	26680
404	18123	26625
405	18171	26585
406	18219	26546
407	18259	26494
408	18297	26439
409	18335	26385
410	18372	26328
411	18416	26283
412	18469	26250
413	18513	26204
414	18552	26152
415	18591	26099
416	18634	26052
417	18674	26001
418	18716	25952
419	18757	25903
420	18796	25850
421	18840	25805
422	18885	25761
423	18937	25725
424	18993	25696
425	19037	25650
426	19085	25611
427	19130	25566
428	19177	25524
429	19233	25495
430	19282	25455
431	19325	25408
432	19370	25364
433	19413	25318
434	19451	25264
435	19489	25211
436	19536	25169
437	19575	25117
438	19620	25072
439	19659	25020
440	19698	24969
441	19740	24920
442	19782	24872
443	19825	24826
444	19865	24776
445	19906	24726
446	19946	24676
447	19990	24630
448	20044	24598
449	20093	24558
450	20137	24513
451	20185	24473
452	20225	24421
453	20265	24372
454	20306	24323
455	20365	24295
456	20417	24259
457	20458	24210
458	20506	24170
459	20548	24121
460	20584	24067
461	20623	24016
462	20663	23966
463	20706	23919
464	20741	23864
465	20781	23814
466	20824	23767
467	20866	23720
468	20907	23671
469	20953	23628
470	20994	23579
471	21032	23528
472	21079	23485
473	21120	23437
474	21179	23408
475	21227	23368
476	21271	23323
477	21313	23275
478	21353	23225
479	21401	23184
480	21452	23146
481	21499	23105
482	21548	23065
483	21593	23021
484	21637	22975
485	21685	22934
486	21725	22885
487	21770	22841
488	21813	22794
489	21863	22755
490	21902	22705
491	21944	22657
492	21998	22623
493	22039	22574
494	22089	22535
495	22135	22492
496	22190	22457
497	22239	22418
498	22281	22371
499	22324	22324
500	22368	22279
501	22410	22231
502	22449	22181
503	22496	22139
504	22541	22095
505	22589	22053
506	22634	22009
507	22682	21968
508	22740	21936
509	22782	21889
510	22829	21846
511	22870	21798
512	22916	21755
513	22965	21714
514	23008	21667
515	23052	21623
516	23094	21575
517	23139	21531
518	23188	21490
519	23226	21440
520	23270	21394
521	23322	21356
522	23362	21308
523	23408	21264
524	23461	21227
525	23509	21185
526	23565	21150
527	23616	21111
528	23655	21062
529	23693	21010
530	23748	20975
531	23785	20924
532	23836	20884
533	23889	20847
534	23930	20799
535	23972	20752
536	24016	20707
537	24064	20664
538	24104	20616
539	24148	20570
540	24191	20524
541	24237	20481
542	24280	20434
543	24330	20394
544	24373	20348
545	24417	20303
546	24466	20262
547	24505	20212
548	24543	20162
549	24589	20118
550	24638	20077
551	24691	20039
552	24740	19998
553	24783	19952
554	24823	19903
555	24871	19861
556	24910	19812
557	24948	19761
558	24986	19712
559	25024	19661
560	25065	19614
561	25118	19576
562	25164	19532
563	25207	19486
564	25257	19446
565	25305	19403
566	25369	19373
567	25415	19330
568	25455	19281
569	25510	19244
570	25554	19199
571	25597	19153
572	25647	19112
573	25700	19073
574	25762	19042
575	25807	18997
576	25856	18955
577	25918	18922
578	25966	18880
579	26019	18841
580	26081	18809
581	26133	18769
582	26178	18724
583	26226	18681
584	26268	18634
585	26308	18586
586	26358	18544
587	26406	18502
588	26459	18463
589	26504	18418
590	26560	18381
591	26601	18333
592	26646	18288
593	26697	18247
594	26736	18198
595	26785	18156
596	26828	18110
597	26876	18067
598	26923	18024
599	26983	17988
600	27049	17958
601	27089	17909
602	27154	17877
603	27206	17837
604	27260	17797
605	27304	17752
606	27342	17703
607	27380	17653
608	27417	17603
609	27476	17567
610	27527	17525
611	27565	17476
612	27611	17431
613	27660	17388
614	27721	17354
615	27763	17307
616	27818	17267
617	27864	17223
618	27911	17179
619	27968	17142
620	28016	17098
621	28058	17051
